"List_name","List_Address","List_Mobile"
"GN Bros. Sarees Pvt. Ltd (Banarasi Saree Wholesaler)","K 37/38, GN Building, Golghar, Near Maidagin, Gwal Das Sahu Ln,","+91 542 233 3427"
"Anmol Synthetics","kasturba nagar sigra","+91 98396 00608"
"Mrbd sarees pvt ltd","20/1 A-2 Bhelupura","+91 99190 55593"
"M Baazar","D 47, 188, Luxa Rd","+91 93355 12615"
"Suman Textile","D.47/75-A Opp PDR Mall, Ramapura Luxa Rd","+91 94152 64021"
"Mirzapur Electrical Industries Ltd.","+91 5442 221 784","Closed ⋅ Opens 10AM Fri"
"Narottam Das Agrawal And Company","D.37/27, Sorakuwan St","+91 542 233 3919"
"Divyanshi Collections","Lane Number 2",""
"Deep Kala Kendra Ratandeep Fabrics Sarala Print","+91 93073 17691","Open ⋅ Closes 10PM"
"Ms Silk Store","221001","+91 96167 72124"
"Vijay Trade Link","D-36/4, 1st Floor, Yadav Market, Near Tanga Stand, Godowlia","+91 93894 41226"
"Aditya Agencies","29, Kanchanpur Road","+91 94152 12796"
"Universal Fabric Pvt. Ltd.","D28/119 A pandey haveli madanpura varanasi","+91 542 245 4964"
"Cosmos Clothing Brand","Door No. 14, Sandson Private Limited, Shiva Complex","+91 63881 72440"
"S.S.G. Sales","D-52/90, Luxa Rd","+91 70548 65555"
"Chaitanya Shree","K.60/18","+91 94152 64312"
"Safiya Collection","C.K. 67/71, Shop No. F, Khaleel Manzil, Benia Bagh Nai Sarak Rd Lahurabir Rd","+91 90260 80599"
"Akanksha Garments","Rishpattan Rd","+91 95808 55315"
"Lakhmani Fashion & Clothing","139, Aurai","+91 80052 65455"
"S R K Group","B21 223 c k 1","+91 81271 95782"
"Multany And Sons","Shop No.17,18,19, Bhavani Shankar Complex, Godowlia Rd","+91 93072 79479"
"Tanish Gift Center And Ladies Corner","Tirmohani, Satti Rd","+91 80811 62453"
"Snehal The Garment Shop","D-53/101, Nagkunj, Chhoti Gaibi, Rathyatra - Mahmoorganj Rd","+91 98890 08004"
"Nirmla Saree Centre","Shop no 78/1 kunj gali ,near chowk thana","+91 91403 75506"
"Shiva Fashion","sh15/52 B agrsen crossing shivpur baypas","+91 94519 08464"
"Fashion State","B.19/70 A Deoriabeer","+91 98898 69888"
"Santosh Hosiery","+91 99180 66671",""
"R.K. Traders","D. 50/168","+91 99355 27872"
"J.M.D dresses🌸(Mantu)","D-48/146 Shri BalaJi Complex Mishir Pokhra Behind P.D.R mall( near Chaura Mata Mandir, Luxa Rd","+91 93353 32260"
"Anupam Sales PVT LTD","C.K. 64/2, Sant Kabir Rd","+91 94156 96766"
"Mahadev Textiles","+91 542 240 1784",""
"Khanna Sarees (Saree Wholesaler and Supplier)","CK 39/79, Near Chitra Cinema","+91 95651 29169"
"Hosiery House","+91 94505 42649",""
"Jaiprakash Readymade","D.50/131 -1 P, Shop No. 4, Kashi Tower","+91 93078 28007"
"Royal foot wear","Utter Pradesh Suriyawan","+91 94519 64323"
"Me Yo Yo Wholesale Bazaar","""... clothing store, and restaurant...""","+91 95549 54124"
"Rajputana Trading","Sonika park","+91 70179 30189"
"Indian vastralay","shivpur, laljikuaa, varanasi","+91 73797 66661"
"Sagar collection","Ck 56/21 kamla katra behind chowk thana","+91 93073 17653"
"KRISHNA COLLECTION","CK 24/ 10-11-12 2nd. floor ,tajawaris katra, 2nd.floor, Kunj Gali","+91 98392 43282"
"Varaha lakshmi silk house","Mumukshu Bhawan, Assi - Lanka Rd","+91 70680 37995"
"Uma Creation","93 A, Ravindrapuri Rd","+91 93369 23933"
"R.H. collection (Devrani Sarees)","B21/225 A2A Ashfaquenagar","+91 90449 26979"
"Fashion Shoe Center","Jakkhini Rd","+91 98894 72912"
"J D TEXTILES","+91 99360 75051","Open 24 hours"
"The temple of silks","B.16, 127-5, Malti Bagh","+91 95541 53000"
"Nazrana Banarasi Sarees","Charan Nagar Colony","+91 82996 09230"
"Archana Art Emporium","Second Floor, D 47/180, S-1, Luxa Rd","+91 94153 04407"
"KAMAL ARTS","D31/13","+91 73097 26554"
"Shyam Traders","Suraj kund, D 51/ 35 A G 1 kazipura Kala, Dhobyani Gali","+91 91987 45420"
"Tulsyan Agencies","",""
"Shree Mahakal Enterprises","S11/15-K21","+91 89824 25741"
"Dinesh Readymade Vastralaya And So House","+91 85659 72131",""
"Sarwan Lal Agrawal","+91 88080 51013","Closed ⋅ Opens 10AM Fri"
"CAMERO TRADE LINK","K 60/38 SIDDH MATA LANE,","+91 542 233 6666"
"Shiv Shakti Readymade Stores","37/117 Baradev","+91 72339 91234"
"Shri Bakebihari & Sons","ck 52/16 nakshatrvilla katra raja darwaja","+91 97952 21357"
"MB SAREES PVT LTD","CK 13/3 Kunj Gali Chowk","+91 99192 12121"
"khan Textail mall","jansa bazzar","+91 788 074 2980"
"Nice Footwear","C 1/77","+91 95980 83425"
"Ajay Sarees Factory","D.17/7, Bhuteshwar Gali, Dashaswmedh Road","+91 94531 61332"
"H.C. Collections","Madanpura Pandey Haveli, Madanpura Road","+91 542 245 4700"
"Lalita Textiles","K 62/80_3rdfloor ;katra bhagwati plaza bulanala Varanasi","+91 80052 50353"
"Vikram Carpets","Natwa Tiraha, Jangi Rd","+91 5442 242 288"
"Wholesale Bazar","",""
"Aana Ladies And Kids Foot Wear","+91 76683 07586",""
"Cheep Footwear","Shop No. 154, Gurunanak Market Road, Malviya Market, Gurunanak Market,, Maidagin","+91 88530 28884"
"Rozi Foot wear","CK 66/11 Safa Marwa Katra, Near Telephone Exchange,","+91 98891 23104"
"Shree Dashmesh Textiles","Mirzapur Rd","+91 94511 73557"
"Vikas Footwear","DLW Rd","+91 85658 88678"
"Jalan wholesale market","+91 96166 77991",""
"Family Foot Wear","Shop No:405","+91 93075 60040"
"kumkum jwellers","+91 90448 15431",""
"Nice Foot Wear","10/64, DLW Road,, Kakarmatta","+91 76689 30860"
"Pannalal Sarraf and Sons ( jewellery showroom)","Sadar Mohal Bhadohi","+91 96219 86555"
"Five Star Foot Wear","+91 93353 25397","Closes soon ⋅ 9PM"
"Aairah Creation","+91 80903 34475","Open ⋅ Closes 11:30PM"
