Location,Business Name,Website,Address,City,Pincode,Established,Phone1,Phone2,Phone3,Phone4,Phone5,Phone6,Email1,Email2,Email3,Email4
Bhadohi,Ashok Carpet Ind,http://www.ashokcarpet.com,G T Rd  Bhadohi - 221401  Nh- 2  Aurai,Bhadohi,221401,,919935492405,919336964827,,,,,ashokcarpet@gmail.com,ashokcarpet@gmail.com,,
Bhadohi,S.Ansari & Sons,,Main Road Bhadohi Bhadohi  Badohi  Bhadohi - 221401  Main Road Bhadohi Bhadohi,Bhadohi,221401,,915414224687,,,,,,,,,
Bhadohi,M.L. Khanna & Sons,,Power House Road  Khannapur  Badohi  Bhadohi - 221401,Bhadohi,221401,,915414224391,,,,,,,,,
Bhadohi,Antique Art Centre,http://www.antiqueartcentre.com,Bhadohi - 221401  Akbarpur  Post Khamarya,Bhadohi,221401,1980,915414243440,919415621862,9.19454E+11,,,,noor0786@sify.com,,,
Bhadohi,Ivory Fine Rugs.,,Naya Bazar  Bhadohi  Bhadohi - 221401,Bhadohi,221401,,915414264144,919335762305,,,,,ivory_fine@yahoo.com,,,
Bhadohi,Carpet Land India,http://www.carpetlandindia.com,Chauri Road  Bhadohi - 221401  Rewra  Paraspur,Bhadohi,221401,1991,915414224170,919919804370,9.19793E+11,,,,carpetlandindia@gmail.com,,,
Bhadohi,Resco Rugs,http://rescorugs.business.site/,Bazar Sardar Khan  Katra Bazar  Bhadohi - 221401,Bhadohi,221401,,915414226466,915414228133,9.19794E+11,,,,,,,
Bhadohi,Homeheart,http://www.homeheart.in,Fattupur Modh Road Bhadohi  Modh Road  Bhadohi - 221401  Care & Fare School,Bhadohi,221401,2017,919336977747,,,,,,helphomeheart@gmail.com,,,
Bhadohi,ABCL Carpets,http://www.abclcarpets.in,Chauri Rd  Bhadohi - 221401  Sheikh Ibrahim Mkt,Bhadohi,221401,,915414225386,919335729460,9.19839E+11,,,,indohouse@sify.com,,,
Bhadohi,Deepak Rugs,,Gyanpur Road  Hariyawan  Bhadohi - 221401  Hariyawan,Bhadohi,221401,,915414225772,919161100626,,,,,,,,
Bhadohi,T N Collections,,Katra Bazar  Bhadohi - 221401  Nai Basti Maryad Patti,Bhadohi,221401,,915414227152,919451940889,,,,,tncollections@gmail.com,,,
Bhadohi,Himalayan Collection,,P No 5-12  Hig-II  Bhadohi - 221401  Jaminipur Clny,Bhadohi,221401,,915414225675,915414225542,,,,,,,,
Bhadohi,Ujjwal Carpets,,Gyanpur Rd  Bhadohi - 221401  P.o. Box 174  Hariyawn,Bhadohi,221401,,915414227572,915414228526,,,,,,,,
Bhadohi,H.M.Yousuf,http://www.hmyousof.com,Khamaria  Khamaria  Bhadohi - 221401,Bhadohi,221401,,915414243456,919335720673,,,,,asianhc@satyam.net.in,,,
Bhadohi,Maurya International,,Civil Lines .  Bhadohi  Bhadohi - 221401,Bhadohi,221401,,915414225631,919839059231,,,,,,,,
Bhadohi,ARS Displays,http://www.arsdisplay.com,Bhadohi - 221401  Himmatpur Bakuchia,Bhadohi,221401,2007,915414224180,915414226180,9.19415E+11,+91 94152 02280,+91 94519 54105,+91 99569 55066,displayars@gmail.com,displayars@gmail.com,info@arsdisplay.com,displaysystems.ars@gmail.com
Bhadohi,Abcl Carpets,,Sheikh Ibrahim Market  Chauri Road  Bhadohi - 221401,Bhadohi,221401,,915414225386,915414227086,,,,,indohouse@sify.com,,,
Bhadohi,Khanna Carpet Collection,,P.o.box 50  Khannapur  Bhadohi - 221401  Bhadohi,Bhadohi,221401,,915414226443,,,,,,,,,
Bhadohi,Carpets Manufacturer & exporter,http://www.evergreencarpets.com,EverGreen Carpets  Mahboobpur By Pass Road Bhadohi U.P. 221401 India  Bhadohi - 221401  Near New Masjid,Bhadohi,221401,,915414224816,919580328504,9.19839E+11,,,,evergreencarpets@yahoo.com,,,
Bhadohi,Shri Ram Rahim Export,,G.T road Babuasrai  maharajganj bhadohi  Bhadohi - 221401  behind hinustan pertolium,Bhadohi,221401,,917007830447,,,,,,harshthakur990@gmail.com,,,
Bhadohi,A & S Carpet Co.,,Jamund  Bhadohi  Bhadohi - 221401,Bhadohi,221401,,915414227833,919795552787,,,,,,,,
Bhadohi,Zenith Arts,,Daropur  Dist. Bhadohi  Bhadohi - 221401,Bhadohi,221401,,915414226292,919889135185,,,,,,,,
Bhadohi,Teppich World,,Peerkhanpur Road  Bhadohi - 221401,Bhadohi,221401,,915414226247,915414385493,,,,,,,,
Bhadohi,Ajay Carpets,,Mirzapur Road  Gopiganj  Bhadohi - 221401,Bhadohi,221401,,915414232293,,,,,,,,,
Bhadohi,MAT India Corporation,http://www.matindiacorporation.in,Ram Raipur Bypass Road  Bhadohi - 221401,Bhadohi,221401,,919415286288,919554853248,,-9565322316,8045134421,-9554853157,,matindia11@gmail.com,,
Bhadohi,Dhiraj Carpet Exports,,Bazar Sardar Khan  Chowri Road  Badohi  Bhadohi - 221401,Bhadohi,221401,,915414300217,915414225052,,,,,,,,
Bhadohi,Ramesh Carpet Industries,http://www.rameshcarpet.com,Station Road  Bhadohi - 221401  Near Hotel Glory Mulla Talab,Bhadohi,221401,1993,919453379997,,,+91 9453379997,9453379997,,rameshcarpetindustries@gmail.com,rameshcarpetindustries@gmail.com,,
Bhadohi,Rahamtullah & Sons,http://www.rahamtullah.com,Bandhwa Road  BHADOHI - 221401  Qazipur  Near Rmc Collection,Bhadohi,221401,2008,915414228055,919918373086,,,,,info@rahamtullah.com,,,
Bhadohi,Jyotsana Rugs Gallery,,254  Bhadohi - 221401  Radha Krishna Temple  Daropur,Bhadohi,221401,2006,918090862280,,,,,,varun_mca054@yahoo.com,,,
Bhadohi,Singh Enterprises,,Village Siur  Po. Aurai  Bhadohi - 221401,Bhadohi,221401,,915414243441,919415300313,,,,,,,,
Bhadohi,Rug Line,,Peer Khanpur Road  Station Road Bhadohi  Uttar Pradesh  Bhadohi - 221401,Bhadohi,221401,,915414226139,915414225511,9.19336E+11,,,,,,,
Bhadohi,Patodia Exports,,Gyanpur Road  Bhadohi - 221401  Saraiya,Bhadohi,221401,,915414225760,919919802544,,,,,,,,
Bhadohi,Pooja PVT. LTD.,,Mondh  Bhadohi  Bhadohi - 221401,Bhadohi,221401,,915414274262,919335788906,,,,,,,,
Bhadohi,Rugs By Choice,,Naya Bzr Rd  Bhadohi - 221401,Bhadohi,221401,,919811911759,,,,,,salamwaziri@gmail.com,,,
Bhadohi,Tajmahal Collections,,P.o. Box 100  Chauri Road  Bhadohi  Bhadohi - 221401,Bhadohi,221401,,915414225842,,,,,,,,,
Bhadohi,Dhiraj Exports,,Chauri Rd  Bhadohi - 221401  Nr Payal Talkies,Bhadohi,221401,,919335854925,,,,,,dhirajexports@sify.com,,,
Bhadohi,Excel Rugs World,,BHADOHI - 221401  Chowk  Qazipur,Bhadohi,221401,2010,915414227386,919935242567,,,,,excelrugsworld@hotmail.com,,,
Bhadohi,Alauddin Exports,,Rotaha  Parsipur  Bhadohi - 221401,Bhadohi,221401,,915414271238,915414271786,,,,,alauddinexp@sify.com,,,
Bhadohi,H A & Sons,http://www.hasons.net,Aurai Road  Bhadohi - 221401  near masjid,Bhadohi,221401,2008,915414227111,919956499777,,,,,info@hasons.net,,,
Bhadohi,Acme Carpets,,Chauri Road  Bhadohi - 221401,Bhadohi,221401,,915414228539,,,,,,acme_ansari@tradeindia.com,,,
Bhadohi,Faisal International,,P.o. Box No 89  Staion Road  Bhadohi - 221401,Bhadohi,221401,,915414505414,915414226064,,,,,faisalint@satyam.net.in,,,
Bhadohi,Elegant Carpet,,Quazipur  Bhadohi - 221401,Bhadohi,221401,,915414225369,915414224669,,,,,elegant1@satyam.net.in,,,
Bhadohi,Nexus,,Bhadohi - 221401  P O Box No-120  Quazipur,Bhadohi,221401,,919415452702,,,,,,zanexus1@gmail.com,,,
Bhadohi,Kumar ENT,,Chauri Rd  Bhadohi - 221401  Pure Shyam,Bhadohi,221401,,915414224977,919415286325,,,,,,,,
Bhadohi,Bokhara Concept,,Chedibeer  Bhadohi - 221401,Bhadohi,221401,,915414225091,,,,,,,,,
Bhadohi,Goyal Export,,dardopur city  Bhadohi - 221401  behind ram leela ground,Bhadohi,221401,,915414224291,919335723021,,,,,goyalexports@sify.com,,,
Bhadohi,Carpet Gallery,,Sant Ravi Das Nager  Bhadohi - 221401  Near By Railway Station and Opposite Post Office,Bhadohi,221401,2009,918840832075,,,,,,faizk66@gmail.com,,,
Bhadohi,Varanasi Carpet MFG Co,,GT Road  Bhadohi - 221401  Madhosingh Bazar,Bhadohi,221401,1990,919369252430,,,,,,,,,
Bhadohi,Kapoors Carpets,,Main Rd  Bhadohi - 221401  Nr Azmullah Choraha,Bhadohi,221401,,915414225243,915414224011,9.19936E+11,,,,kapoor.abhishek08@gmail.com,,,
Bhadohi,Farhan Carpet & Home Furnishing,,Chamanganj Ghosia  Bhadohi - 221401  Aurai,Bhadohi,221401,2011,918896955050,,,,,,ansarifurnisher@gmail.com,,,
Bhadohi,Aisha Industries,,Bhadohi - 221401  Kashipur,Bhadohi,221401,1985,915414225613,919335762032,,,,,industriesaisha@gmail.com,,,
Bhadohi,N Z Export,,Bhadohi - 221401  Mohalla Kajiana Near Habib Market,Bhadohi,221401,,919580920286,,,,,,mujtabahabib92@gmail.com,,,
Bhadohi,Mushtaque Ansari & Sons,,Bhadohi - 221401  Rotha,Bhadohi,221401,1985,919918072163,,,,,,zeeshadansari555@gmail.com,,,
Bhadohi,Bwm International,,Fakir Seth Bldg  Peerkhan Pur Road  Bhadohi - 221401,Bhadohi,221401,,915414221401,,,,,,,,,
Bhadohi,Kashanian Exports,,Bhadohi H O  Bhadohi  Bhadohi - 221401,Bhadohi,221401,,,,,,,,,,,
Bhadohi,Ashoka Rugs,,Bhadohi H O  Bhadohi  Bhadohi - 221401,Bhadohi,221401,,919839080912,,,,,,,,,
Bhadohi,Ima Rugs,,Bhadohi H O  Bhadohi  Bhadohi - 221401,Bhadohi,221401,,919839049557,,,,,,,,,
Bhadohi,Infab India,,Bhadohi H O  Bhadohi  Bhadohi - 221401,Bhadohi,221401,,919794950321,,,,,,,,,
Bhadohi,Sayeeda Collection,,Zanu Sahid Road  Peerkhanpur  Bhadohi  Bhadohi - 221401,Bhadohi,221401,,915414302171,919987559586,,,,,,,,
Bhadohi,Pashmeena Exports,,Civil Lines Bhadohi  Bhadohi - 221401,Bhadohi,221401,,919839875799,,,,,,,,,
Bhadohi,Capry Expotex,,Main Road  Maryadpatti  Bhadohi  Bhadohi - 221401,Bhadohi,221401,,919044113519,,,,,,,,,
Bhadohi,Moinuddin & Sons,,St Mary Road  Bhadohi - 221401  Naya Bazar,Bhadohi,221401,,919415905222,919335762117,,,,,,,,
Bhadohi,Alina Carpets,,Mohalla Ramsahaipur  Bhadohi - 221401  Near Masjid & 1.5 Km From Bhadohi Railway Station,Bhadohi,221401,,918726204036,,,,,,anwarcarpet@gmail.com,,,
Bhadohi,Rizvan brothers,,Bhadohi - 221401,Bhadohi,221401,2013,918090405097,918381964695,,,,,,,,
Bhadohi,Abdul Aziz Rugs,,Bhadohi - 221401  Power House  Gerai  Gopi Gunj,Bhadohi,221401,2015,919451528849,,,,,,abdulazizrugs@gmail.com,,,
Bhadohi,Carpet Gallery,,Kazipur Road  Bhadohi - 221401  Nizampur,Bhadohi,221401,2015,919892694121,918268274120,,,,,carpetgallery@yahoo.com,,,
Bhadohi,Sara Overseas Corporation,,Sofian House  Sadar Road  Bhadohi - 221401  Ghosia,Bhadohi,221401,1998,919721002288,,,,,,flooring4u@gmail.com,,,
Bhadohi,kelim world,,Ramshaipur Bhdohi  Bhadohi - 221401  Near Amber Neam,Bhadohi,221401,,918090760805,,,,,,kelimcarpet78@gmail.com,,,
Bhadohi,Ayub Creation,,himmatpur bakuchia  3 ayat road  Bhadohi - 221401,Bhadohi,221401,,919451423042,,,,,,,,,
Bhadohi,T S Art,,Noor Khanpur  Bhadohi - 221401  Near Ek Minara Masjid,Bhadohi,221401,2017,917007454259,,,,,,,,,
Bhadohi,Saayem Art Tex,,Daropur Road  Bhadohi - 221401  Near By Water Tank,Bhadohi,221401,2007,918115944999,919919288503,,,,,,,,
Bhadohi,Deepak Carpets,http://www.deepakcarpets.com,White Building  Naya Bazar  Bhadohi - 221401  Near Naya Bazar Telephone Exchange,Bhadohi,221401,1985,915414278700,919336054333,,,,,deepak.carpets@gmail.com,,,
Bhadohi,Vinod And Associates,,1/17 Jamunipur Colony Badohi  Bhadohi - 221401  Near Indira Mill Crossing,Bhadohi,221401,2010,918299115809,,,,,,,,,
Bhadohi,HomeHeart,http://www.homeheart.in,Fattupur  Gangapur  Bhadohi - 221401  Care & Fare School,Bhadohi,221401,2017,919336977747,,,,,,homeheart.in@gmail.com,,,
Bhadohi,Ahmad Ansari Carpet Manufacturer,,Kazipur  Bhadohi - 221401  Near Kotwali,Bhadohi,221401,,917985166095,919628152517,,,,,,,,
Bhadohi,Bholanath International Limited,http://www.bholanath.biz,Bhadohi - 221401  Khamaria,Bhadohi,221401,,915414243501,,,,,,marketing@bholanath.biz,,,
Bhadohi,Universal Rugs,,House Number-69  Bhadohi - 221401  Jahidpur Naya Bazar,Bhadohi,221401,1991,919935343270,919838966022,,,,,unirugs@yahoo.co.in,,,
Bhadohi,javed woven and knitting industry,,Bhadohi - 221401,Bhadohi,221401,,919155384529,,,,,,javedakhtar4321@yahoo.in,,,
Bhadohi,Irfan Oriental Rugs,,GT Road  Bhadohi - 221401  National Highway 2  Ghosia,Bhadohi,221401,1972,915414244555,919335021800,,,,,irfanrugs@gmail.com,,,
Bhadohi,Utter Home,http://www.utterhome.com,maboobpur  Jaunpur By pass road  Bhadohi - 221401,Bhadohi,221401,1997,919670703666,,,,,,customercare@utterhome.com,,,
Bhadohi,Fida Art Gallery,,ram lila mandan road  Katra Bazar  Bhadohi - 221401  near relaince building,Bhadohi,221401,2016,919026442315,919580299936,,,,,tauseef0069@gmail.com,,,
Bhadohi,Shahab Brothers Industries,,Postoffice  Khamariya  Bhadohi - 221401,Bhadohi,221401,,918299396473,,,,,,shaanrock@gmail.com,,,
Bhadohi,Afan International,,47/48  Jallapur  Nai Basti  Bhadohi - 221401,Bhadohi,221401,2012,919335426645,,,,,,afanintl@gmail.com,,,
Bhadohi,Modern Rugs,,P.o.box-201  Jallapur  Bhadohi-221401  Bhadohi - 221401,Bhadohi,221401,,915414228342,919415225416,,,,,,,,
Bhadohi,Acme Carpets,,Post Box No  252  Chaori Road  Bhadohi  Bhadohi - 221401,Bhadohi,221401,,915414228539,919415268919,,,,,,,,
Bhadohi,Vivek International,,Vivek International  Nai Bazar Bhadohi  Uttar Pradesh  Bhadohi - 221401,Bhadohi,221401,,915414278929,919795959263,,,,,,,,
Bhadohi,Salwan Rugs Ind,,Bhadohi - 221401  Ghosia  P O Aurai,Bhadohi,221401,,915414243287,,,,,,salwan.rugs@gmail.com,,,
Bhadohi,Rashid & Sons,,Bhadohi - 221401  P.o. Khamaria,Bhadohi,221401,,915414243284,,,,,,,,,
Bhadohi,United Shine Arts,,Bhadohi - 221401  Noorkhanpur  Srdn,Bhadohi,221401,,915414225925,919450237418,,,,,usa_bdh1@yahoo.com,,,
Bhadohi,Zaheer Carpets,,Khanapur  P.o. Jahgiganj  Bhadohi - 221401,Bhadohi,221401,,919415265393,,,,,,,,,
Bhadohi,Woolcraft Corporation,,P.o. Box No. 253  Noorkhanpur  Bhadohi - 221401,Bhadohi,221401,,915414225047,919415221139,,,,,,,,
Bhadohi,Raunaq Carpets,,C/O Raunaq Sons  Madho Singh  Bhadohi - 221401  Aurai,Bhadohi,221401,,915414243232,918904721481,,,,,,,,
Bhadohi,Royal Self Help Group,,Madho Singh  Post Aurai  Bhadohi - 221401,Bhadohi,221401,,919305386924,,,,,,,,,
Bhadohi,Kashanian Exports,http://www.bhadohiinfo.com,Bhadohi - 221401  Chauri Road,Bhadohi,221401,,915414278578,919945822133,,,,,wazirimail@sancharnet.in,,,
Bhadohi,Orient Carpet India,,Bhadohi - 221401  Shardapuri Chari Road,Bhadohi,221401,,9154144012752,919254213614,,,,,orctl@yahoo.com,,,
Bhadohi,M. H. Carpets,,Box 135  Bhadohi - 221401  Bazar Sardar Khan,Bhadohi,221401,,9154143555090,919818071932,,,,,admin@baileyindia.com,,,
Bhadohi,Abhay International,,Lasmaria  Khamaria  Bhadohi - 221401,Bhadohi,221401,,915414243648,,,,,,abaymishr@rediffmail.com,,,
Bhadohi,B.B.N. Exports,http://www.bbnexports.com,Nitika Bhawan  Aurai Road  Bhadohi - 221401,Bhadohi,221401,,915414225353,915414227562,,,,,bbnexpo@satyam.net.in,,,
Bhadohi,Aditya Intl,,G T Rd  Bhadohi - 221401  Lala Ngr,Bhadohi,221401,,919450238203,,,,,,vintriunique@gmail.com,,,
Bhadohi,Sheikh Bhullan Carpets (P).  LTD.,,Puregulab  Bhadohi - 221401  Gopiganj,Bhadohi,221401,,915414232087,,,,,,,,,
Bhadohi,Rizwan & Brothers Co. LTD.,,Rizwan & Brothers Co. Ltd.  Akbar Pur  Bhadohi - 221401  Khamaria  Near Pond,Bhadohi,221401,,919935453778,,,,,,,,,
Bhadohi,Ansari Floor Coverings,http://www.ansarifloor.com,Bhadohi - 221401  Noorkhanpur,Bhadohi,221401,,915414322533,919838513330,,,,,ansarifloor@yahoo.co.uk,,,
Bhadohi,Rupesh Kumar & Bros,,Main Rd  Bhadohi - 221401  Nr Ram Talkies,Bhadohi,221401,,919415203876,919415203859,,,,,rupeshkr@sify.com,,,
Bhadohi,Bizarre Rugs Inc,http://www.bizarrerugs.com,Bhadohi - 221401  P O Box No- 245  Jalalpur,Bhadohi,221401,,915414224066,919838005995,,,,,bizarrerugs@gmail.com,,,
Bhadohi,Fine Arts Floor Covers,http://www.fineartfloorcovers.in,Main Rd  Bhadohi - 221401  Maryad Patti,Bhadohi,221401,,919336929388,,,,,,floorcovers@sify.com,,,
Bhadohi,Sarfaraz & Sons,,10  Bhadohi - 221401  Marriage School Naya Bzr,Bhadohi,221401,1992,919838698783,,,,,,anzarfaraz@gmail.com,,,
Bhadohi,Kav Exports,,Ground Floor  168  Civil Lines  Bhadohi - 221401  Khannapur,Bhadohi,221401,,919235408024,,,,,,,,,
Bhadohi,Mvs Export,,LAL Building  Daropur  Bhadohi - 221401  Bhadohi,Bhadohi,221401,,915414227496,919918352595,,,,,,,,
Bhadohi,Deep Exports,,Deep Exports  Laxmanpatti  Deonathpur  Bhadohi - 221401  Gyanpur,Bhadohi,221401,,915414250474,919335022493,,,,,,,,
Bhadohi,Shaggy Factory,,Katra Bazar  Bhadohi - 221401,Bhadohi,221401,2004,919696082323,,,,,,Shaggyfactory@gmail.com,,,
Bhadohi,Imam Carpets,,Bhadohi - 221401  Quzipur South,Bhadohi,221401,,915414302177,919889006433,9.1937E+11,,,,imamcarpets@hotmail.com,,,
Bhadohi,R Baranawal Intl,,147  Memdeopur Road  Bhadohi - 221401  Opposite Union Bank,Bhadohi,221401,1983,915414300000,919670819528,9335713038,,,,indiacarpet.rbi@gmail.com,,,
Bhadohi,Abdus Sami Ansari & Sons,,Main Rd  Bhadohi - 221401  P O Box No-109 Nr Ram Leela Ground,Bhadohi,221401,,9154142256661,,,,,,,,,
Bhadohi,Rahmat Brothers,,Main Road  Bhadohi  Bhadohi - 221401,Bhadohi,221401,,915414224186,919235701697,9.19889E+11,,,,raghmatbro_up@yahoo.co.in,,,
Bhadohi,Orient Arts & Crafts,,Post Box No. 134  Railway Station Road  Badohi  Bhadohi - 221401,Bhadohi,221401,,915414277602,,,,,,,,,
Bhadohi,Indo Kashanian Rugs,,P. O. Box No. 222  Chauri Road  Badohi  Bhadohi - 221401,Bhadohi,221401,,915414224472,,,,,,,,,
Bhadohi,J. M. Carpet Emporium,,Chauri Road  Bhadohi  Bhadohi - 221401,Bhadohi,221401,,915414224641,,,,,,,,,
Bhadohi,Maurya Intetrnational,,Civil Lines  Pakri  Bhadohi  Bhadohi - 221401,Bhadohi,221401,,915414226631,,,,,,,,,
Bhadohi,Minar Carpets,,241  Nubarak House  Malkana  Bhadoni  Bhadohi - 221401,Bhadohi,221401,,915414246876,,,,,,,,,
Bhadohi,MVS Exports,,LAL Building  Daropur  Bhadohi  Bhadohi - 221401,Bhadohi,221401,,915414224582,,,,,,,,,
Bhadohi,P.K. Baral,,P.box-228  Gyanpur Road  Saraiyan  Bhadohi  Bhadohi - 221401,Bhadohi,221401,,915414225296,,,,,,,,,
Bhadohi,Pars Carpet PVT. LTD.,,395  Power House Road  Civil Lines  Bhadohi  Bhadohi - 221401,Bhadohi,221401,,915414225734,,,,,,,,,
Bhadohi,Rupesh Kumar & Brothers,,Main Road Bhadohi  Bhadohi - 221401,Bhadohi,221401,,915414225537,,,,,,,,,
Bhadohi,SRI Bikaner Handicraft Exports,,Dulamdaspur  Sarroi  Aurai Road  Dist. Sant Ravidas Nagar  Bhadohi - 221401,Bhadohi,221401,,915414225011,919935488055,,,,,,,,
Bhadohi,Tara India,,Mathurapur  Naya Bazar  Bhadohi - 221401,Bhadohi,221401,1994,915414278381,915414278382,9.19336E+11,,,,,,,
Bhadohi,Oac Rugs,,Post Box No. 34  Railway Station Road  Bhadohi - 221401,Bhadohi,221401,1978,915414225460,915414227760,9.19839E+11,,,,,,,
Bhadohi,Janki Prasad And Sons,,Bazar Salabat Khan  Bazar Salabat Khan  Bhadohi - 221401  Bhadohi,Bhadohi,221401,,915414225115,,,,,,,,,
Bhadohi,Raj Exports (India),,M I G 1/1  Bida  Bhadohi - 221401  Jamunipur,Bhadohi,221401,,915414224771,,,,,,,,,
Bhadohi,Shri SAI Exports,,Bhadohi - 221401  Chakinayat,Bhadohi,221401,,915414226051,919868643287,9415286016,,,,,,,
Bhadohi,Oriental Art Covers,,P.o. Box No.187  Daropur  Bhadohi - 221401,Bhadohi,221401,,915414225825,919335679936,,,,,,,,
Bhadohi,Ornamental Rugs Pvt Ltd,,Quazipur  Bhadohi  Badohi  Bhadohi - 221401,Bhadohi,221401,,915414222318,919389906597,,,,,,,,
Bhadohi,Sangeeta International,,Main Road  Badohi  Bhadohi - 221401  Near Tata Office,Bhadohi,221401,,915414225317,919235508857,,,,,,,,
Bhadohi,Hasida & Sons,,G.t. Road  Post. Aurai  Badohi  Bhadohi - 221401  Ghosia,Bhadohi,221401,,915414243094,919415265973,,,,,,,,
Bhadohi,Prabhat Exports,,Main Road  Badohi  Bhadohi - 221401  Anand Nagar,Bhadohi,221401,,915414225840,915414225640,9.19336E+11,,,,,,,
Bhadohi,Persian Mahal,,P.o. Khamaria  Badohi  Bhadohi - 221401,Bhadohi,221401,1978,915414245190,919415871045,,,,,,,,
