List_name,List_Mobile,List_Address
R.H. collection (Devrani Sarees),+91 90449 26979,B21/225 A2A Ashfaquenagar
A.D. Fashion,+91 86024 63446,j 31/45 A bandhu Kachchibagh Jait pura near national inter collage varanasi
Rajputana Trading,+91 70179 30189,Sonika park
Jalans,+91 542 231 2323,"D 13/27 Sudarshan Shopping Complex Chowk Godowlia Rd, Bansphatak Road"
Textiles & Handicrafts Creations,Closed ⋅ Opens 10AM Fri,+91 93690 05500
Muskan saree centre,,+91 92367 63486
Asfiya Fabrics,+91 542 245 5760,"B21/225 E-5-K, Kamachha Rd"
Madhu Handloom (Banarasi Silk Brocades Manufacturer and Wholesale Supplier),+91 80099 06161,"K-28/60, Govind Ji Nayak Lane, Chaukhambha"
Sandeep Kumar Salil Kumar,+91 542 241 5802,"Ck-58/55, 2nd floor,"
"JAGDISH DAS & COMPANY, JDS VARANASI",+91 95656 40007,"CK 19, 16"
JJ Textiles,+91 87072 34947,"D. 31/242, Gol Chabutra Lane"
Ragul Shri Saree Factory,+91 98897 76803,"D 15/74,Man Mandir, Dashashwamedh"
Maa Vishalakshi Silk Factary,+91 99841 44252,D34/37 Hotel Aditya Inn Baradeo Godowlia
Haji Khalilullah Mohd. Din,+91 83329 21009,"""We were looking for wholesalers with an abundant varieties of ..."""
Vandana Sarees - Best Banarasi Saree Shop | Lehenga Shop | Kurti Shop In Varanasi,+91 63882 51026,"रथयात्रा - महमूरगंज मार्ग, Near, Usha Gupta Ln"
Kargha (Handloom & Handicrafts),+91 542 236 0786,"MS Plaza, Rathyatra Rd Basement of, Mahmoorganj, Rathyatra - Mahmoorganj Rd"
Banaras Saree Factory,+91 542 239 2372,"CK.26/16-A, Tripura Bhairwi Rd, Kachori Gali, Chowk Godwalia, Govindpura"
HolyWeaves,+91 73477 34773,"Kashi Anathalaya, 109, 1st Floor"
Ram Shyam Stores,+91 77558 27979,"Varanasi,"
Shri Khatu Ji Wholesale Bazar,+91 82992 47566,"C.21/30 A-J.S, Near Ganga Palace, Pisachmochan road, Maldahiya Rd"
Taaz Saree Manufacturer,+91 80819 09941,"Varanasi, Uttar Pradesh, India"
Jockey,+91 94152 06857,"Varanasi, Uttar Pradesh, India"
Change,+91 97957 71177,"Varanasi, Uttar Pradesh, India"
Rajnigandha Fashion,+91 85729 62551,"Varanasi, Uttar Pradesh, India"
Ali Collection,+91 78600 37214,"Varanasi, Uttar Pradesh, India"
K. N. Lari Creations,+91 93369 21780,"Varanasi, Uttar Pradesh, India"
Shri Kishna Stores,+91 94152 27202,"Varanasi, Uttar Pradesh, India"
Perfection House,+91 90447 74446,"Varanasi, Uttar Pradesh, India"
Balaji Synthetics,+91 93369 18100,"Varanasi, Uttar Pradesh, India"
Ladies First,+91 90055 77555,"Varanasi, Uttar Pradesh, India"
Lavanya's Creation,+91 99565 43425,"Varanasi, Uttar Pradesh, India"
handloom silk co-operative society ltd.,+91 86550 60533,"Varanasi, Uttar Pradesh, India"
Raaj Sinhal Saree Centre,+91 94515 77014,"Varanasi, Uttar Pradesh, India"
Biba Apparels- Skirts Online Shopping,+91 542 227 7005,"Varanasi, Uttar Pradesh, India"
Nisa Exclusive,+91 98390 16897,"Varanasi, Uttar Pradesh, India"
Chetmani Ornaments Pvt. lTd. (Jewellery Shop),+91 99367 97873,"Varanasi, Uttar Pradesh, India"
Vijay Shankar Mala Store,+91 98390 85480,"Varanasi, Uttar Pradesh, India"
Modi Textiles,+91 542 325 5858,"Varanasi, Uttar Pradesh, India"
S Kumar Jewellers,+91 98380 44080,"Varanasi, Uttar Pradesh, India"
Dhanshri Jewellers Pvt Ltd,+91 99350 64210,"Varanasi, Uttar Pradesh, India"
Rajput & Company,+91 542 236 3677,"Siddharth Complex Sigra - Mahmoorganj Rd, Mahmoorganj Rd"
Metro Stores,+91 85450 00601,B-16/34
Timet Watch & Optical,+91 96167 99828,"Kuber Complex, Rathyatra Sigra Road, Market"
S.K Garments,+91 96955 57709,D.50/125
Munna Chasma Wale,+91 94156 23309,C 31/6 Englishiya Line Varanasi 221002
R.K.S Garment Textile,+91 90445 41225,Ml3\35 anand nagar colony kandawa
Khadi india,Closes soon ⋅ 8PM,+91 94156 86690
Bombay Dyeing,+91 99188 00977,"DISTRIBUTOR- M. B. Towers Pvt. Ltd., D 63/6 B Plot No. 17, 18, Shivaji Nagar Colony,, Mahmoorganj Rd"
Saanjh Silk Factory,+91 73097 55587,"CK 37/19, Vishwanath Galli, Opposite Sakshi Vinayak Mandir, Lahori Tola"
Apsara sarees,+91 81760 23279,J11/38
RG Sarees,+91 542 242 0106,"CK 13/41, 1st Floor, Phatak Shuklal Shah, Satti Choutra"
Beaded India,+91 99368 17770,"No. 201 Lahartara Nai Basti,"
Silk Fashion,+91 93369 00220,Bajardiha
GULISTAN SILK CO-OP SOCIETY LTD.,+91 99368 66553,"CK58/1-A, AASH BHAIRO, Bulanala Maidagin Road"
Ankur Enterprises,+91 76189 74974,Usha Gupta Ln
Jalan's Kabira Complex,+91 542 231 2323,"Tulsi Manas Mandir, Durgakund Rd"
Top In Town,+91 99187 00645,"Tanishq Showroom, Shop No. 2, 3, 4, 5 & 6-A, Ground Floor, Kuber Complex Rathyatra Sigra Road, Rathyatra - Mahmoorganj Rd"
Banarasi Sarees Manufacturer in Varanasi India,+91 87072 34947,"JJ Textiles, D. 31/242, Gol Chabutra"
Loolu Silk International,,"Near Sigra Police Station, Lallapura"
Shree Dashmesh Textiles,+91 94511 73557,Mirzapur Rd
Varanasi saree handmade,+91 83030 26448,Ishwargangi near Punjab sweet
Manglam Footwear,+91 98394 84172,"Shop Number 1,2,3"
Mohini Mohan Kanjilal & Brother,+91 542 239 2367,"D.10, 25-26, Vishwanath Gali"
Shree Saree Sansar,+91 77100 48083,"Shop No. 40, Town Hall, Malviya Market, Gurunanak Market, Bisweshwarganj"
G.P. Tex,+91 96954 27978,"D 13/06, Mahalakshmi Katra, Bhandari Gali"
Haji&nbsp;Mohammad&nbsp;Saeed & Sons,+91 93363 20637,K.51/80
Chitranshi Creations,+91 91255 06666,"24,Annapurna Colony,Mahmoorganj,Varanasi,221010"
Today Fabs Private Limited,+91 98395 44699,"'SAKAN' B 21/196, A-2, Ashfaq Nagar, Opp. CHS Boys School, Bhelupur Post, Kamaccha"
Silkab,+91 542 239 1007,D 61/22-1
Kashmir Art Museum,+91 96166 34854,"Shop No. 18, B.C. Tower"
Rupdarshi Sarees Pvt Ltd,+91 542 241 3629,CK 13/41 phatak sukh lal saha near lachiram dharamshala
Harshit Prints,+91 95656 56000,"Near Vivek Hospital , In front of Moti Factory"
BHAGYA SHREE FASHION,+91 73518 77506,"172 Sadar Muniya Mo. Chanakyapuri, Meerut Cantt"
Dayashankar Aabhushan Bhandar,+91 98390 29524,"Shop No. CK. 18, 26"
SANGEETA FABRICS,+91 86014 06186,"House No. J19/21, Near Sheetla Mata Mandir, Bada Bazar, Chauka Ghat"
Dream creation,+91 93360 86909,"Sidhgiri Bagh Road, Sigra"
Shahi Saree Museum,+91 82992 54717,"j19/45 jamaluddeenpura, Bari Bazar Rd"
India Intercraft,+91 98395 06222,J 12/38 C
Rafi Silk House,+91 74994 15506,"J 24/110, Bari Bazar Rd"
Varanasi Silk Handicraft,+91 542 245 1800,"D 17/53, Laxmi Guest Building Dashashwamedh Road, Bhuteshwar Gali"
Banarasi Weaves Point,+91 81271 95782,"B-21/168, Kamachha Rd"
Pragati Enterprises,+91 99362 56176,Varanasi - Allahabad Road
Jai Maa Bhawani Garments,Closes soon ⋅ 8PM,Sindhora Rd
Jain Traders,+91 96966 39816,K-37/111A
Rizwana Sarees,+91 72752 25419,"J23/30, Kamalpura Jaitur"
K55/14 Hmian Fabrics,+91 87263 35019,Varanasi
Banarasi Handicraft,+91 80813 17099,Sarai Goverdhan
Rahesh Handloom,+91 98390 41377,Godowliya-Luxa Rd
Shree Poddar Fashions,+91 98389 41122,"Ishwar Tower, D 48/146 K-1, 1st Floor, Shri Balaji Complex PDR Mall, 221010, Behind, Luxa Rd"
Addons,+91 89606 58006,"Shop No. 220, 2nd Floor, IP SIGRA Shopping Mall"
BANARASI WEAVERS SHOP,+91 94155 75490,"B 21/168 NEAR CENTRAL HINDU BOYS SCHOOL, Kamachha Rd"
"Oriflame Seller KAKARMATTA DLW, Varanasi",+91 98309 15659,KAKARMATTA (RESI Near PETROL PUMP
Pradip Ladies Corner And Beauty Collection,+91 96963 58388,Ghanti Mill Rd
Woodland,+91 542 231 0132,"B-27/70 Durgakund Road Durgakund, Gurudham Chauraha, Barhar Kothi, Durgakund bARHARKATHI, Jawahar Nagar Colony"
Silk Emporium,Closes soon ⋅ 8PM,+91 90064 64642
Amul,+91 542 240 0400,"C9/18 Varanasi, Arya Mahila to Habibpura Rd"
ESPO FIT,+91 97945 14126,C 6/58 D BAG BARIYAR SINGH CHETGANJ VARANASI
BIBA,+91 542 227 7006,"Durgakund Rd, Bhelupur Road"
Daina Sports,+91 76681 85098,"B10/44, Sonarpura Road"
Inaaya fashion gallery,,+91 72755 88408
FASHION HUB,+91 788 757 4001,"Uttar Pradesh, India"
R. D. Footwear & Tailoring,+91 95980 60267,"Varanasi, Uttar Pradesh, India"
Modest Forever,+91 98392 83284,"Uttar Pradesh, India"
METRO SILK HOUSE,+91 93353 13708,"Varanasi, Uttar Pradesh, India"
Fatma silk House,+91 96963 58359,"Varanasi, Uttar Pradesh, India"
Ace Arts,+91 96548 00855,"Varanasi, Uttar Pradesh, India"
NSB FASHIONS,+91 80 4806 2541,"Varanasi, Uttar Pradesh, India"
Q S creation,+91 88089 12332,"Varanasi, Uttar Pradesh, India"
Summul sarees,,"Varanasi, India"
IndianTerrain,+91 542 250 4388,"Varanasi, Uttar Pradesh, India"
Indian Terrain,+91 44 4345 3000,"Varanasi, Uttar Pradesh, India"
IndianTerrain,+91 542 231 0567,"Varanasi, Uttar Pradesh, India"
SWADESHI HERBAL GROUP,+91 97928 35123,"Varanasi, Uttar Pradesh, India"
Spykar Lifestyles,+91 542 251 1002,"Varanasi, Uttar Pradesh, India"
Wholesale Bazar,,"Darekhu, Uttar Pradesh, India"
Baiju Tailoring & Material House,+91 97954 22257,"Varanasi, Uttar Pradesh, India"
"Trendz de Ushnakmals - Best & Exclusive Banarasi sarees, fabrics.",+91 98390 55544,"Varanasi, Uttar Pradesh, India"
Sevika Sarees P Ltd.,+91 98391 72757,"Varanasi, Uttar Pradesh, India"
Spykar-Zorba Sports And Lifestyle Pvt Ltd,+91 542 231 0308,"Varanasi, Uttar Pradesh, India"
INDIAN TERRAIN - Aryan Enterprises,+91 96287 47863,"Varanasi, Uttar Pradesh, India"
SWADESHI HERBAL GROUP,+91 97928 35123,Parade Kothi Rd
IMC (Meera Herbals),+91 88966 72450,Nakkhighat Rd
RELAXO,,+91 542 250 0695
Rahul Tailoring Shop & Button Store,+91 97931 46524,"Sigra - Mahmoorganj Rd, Near Padmini Hotel, Radha Market, Mahmoorganj"
"Ferns N Petals : Flower Shop in Durgakund , Varanasi",+91 93367 71400,3 Gurudham Crossing
Shivam Arts,+91 99350 38768,"D - 36/166, Agasthakunda, Dashaswamedh, Near Dashaswamedh Police Chowki, Near Kashi Vishwanath Temple"
Indian Crafts Hub,,+91 93072 57437
Spykar,+91 542 222 0976,"IP SIGRA Shopping Mall, Shop No. 215, 2nd Floor,"
Laxmi Textile,+91 99366 63133,Lohta Rd
