List_name,List_Mobile,List_Address
Jagdamba sarees,+91 98394 19948,"431/495, malviya nagar"
Ritesh Kumar Shailendra Kumar,+91 94152 37672,"33/1, Shivacharan lal Road, Allahabad"
Jockey,+91 532 226 0601,"No 17/23, UG-1, Tashkand Marg"
Toonz - Allahabad,+91 77060 55666,"3704B, Kalvin Road"
Madan Hosiery,+91 88405 58734,"587/269, Daraganj Rd"
Sagar,+91 93351 51258,Gulab Complex
Citi Trends,+91 532 226 0065,"""Very good products and letast fashion proding."""
The Raymond Shop,+91 532 256 4655,"59, Shiv Charan Lal Road, Near Vishambar Cinema, Chowk"
Tandon Bhaiya Uoon Whale,,+91 87650 45398
Ankit Garments,+91 85650 14409,"57B , Banarash Road, Phaphamau Allahabad"
Ghisairam Kanhaiya Lal,+91 99358 32099,"Shop No.7, Ground Floor, Mishi Lal Plaza"
reyon fabric long designer gowns manufacturers designer reyon kurtis wholesalers,,
Kiran's Creation,+91 94152 53401,"155, Triveni Rd"
Swetha Fabric Collection,+91 97964 86610,"Anwar Market, Jhushi Road & G.T. Road"
Fancy Dupatta,+91 93694 87760,Jawahar Square
Unik Bazar Allahabad Uttar Pradesh India,+91 93053 54928,Cintamani Ghose Road Allahabad
Kalra Footwear,Open ⋅ Closes 9PM,+91 98388 74321
Anamika,Open now,+91 1800 22 8990
Raymond Shop,,Open ⋅ Closes 10PM
Chandni Collection,+91 83036 70797,"735, Rajlaxmi Complex"
Ladies Fashion Garments,+91 94534 24733,Near Pila Siwala Mandir
KHADI BHANDAR,+91 80053 19023,"DR.BAJAJ COMPLEX, ( NEAR PVR CINEMA),CIVIL LINES"
Madan Collections,+91 93350 62130,"24A/12A, Sardar Patel Marg"
kcolourpalette,,Open 24 hours
The Raymond Shop,+91 532 240 7750,"5, Sardar Patel Marg"
Sri Radhe Textiles,+91 532 240 2388,"67A/78, Dinesh Bhavan, Opp. Moti mahal Cinema, Swami Vivekanand Marg"
Jalan's Megastore,+91 532 246 0326,911 Purana Katra Science Faculty Road
Peter England,+91 532 256 0169,"Shop No 29 Civil Lines MG Marg,"
Sangini Boutique,+91 99569 28565,"26, Near Bank Of Baroda, Mahatma Gandhi Marg"
DULAREY & BROTHERS,+91 98891 72116,"Chowk, infront of Kotwali,"
Zafar Leather Cloth Store,+91 532 240 3644,53/141
Ramji Lal Ratan Prakash & Co.,,+91 1800 22 8990
Umang,+91 76170 18851,"6, Sardar Patel Marg, Civil Lines"
Planet Fashion,+91 532 226 0996,"Shop No. 11, 12 & 12A, First Floor, VCC Mall"
LEE,+91 70804 76600,"GF2, Vinayak City Centre, Sardar Patel Marg, Civil Lines, Near PVR Multiplex"
Lucknow Chikan House,+91 90269 45354,"24/12, Sardar Patel Marg"
Yash Shree Collection,+91 98391 51213,"27, Prem Shopping Complex, D Rd"
Patanjali Chikitsalaya,+91 94152 36885,"6, Rambagh Rd, Near Bharat Petroleum"
Levi's Exclusive Store,+91 532 240 0022,"Shop No A-01&02, Ground Floor, Vinayak City Square, 46/3, Civil Station, Sardar Patel Marg, Civil Lines"
Firstcry.com Store Allahabad,+91 86046 00180,"First Floor, Oscar Square, 50/40, Lal Bahadur Shastri Marg"
Fabindia,+91 532 256 0180 ext. 190,"Ground Floor, 50/40,, Lal Bahadur Shastri Marg, Agnipath Colony, Civil Lines"
SABHYATA,+91 97119 85649,"SHOP NO-FF-23 A, VINAYAK CITY CENTER, Civil Lines, 211002, Sardar Patel Marg"
Levis,,+91 1800 102 0501
Puja Garments,+91 99367 98547,"735, Near Sajni Creation"
Pantaloons Store,+91 532 391 1415,"48, Vinayak City Center, 24, Sardar Patel Marg"
Louis Philippe,+91 532 256 0014,"22, Civil Station, Municipal No. 198E/41, M.G. Marg"
Johnson Relo Packers and Movers Allahabad | Movers and Packers Prayagraj,+91 99840 28402,"Packers and Movers in Allahabad, Movers and Packers in Allahabad, Movers and Packers Prayagraj, Agarwal Packers and Movers Allahabad Car Movers in Allahabad, Packers and Movers Prayagraj, Old Agarwal Movers and Packers in"
Chhabra Triple Five Fashions Pvt. Ltd.,+91 532 242 7334,"7/3A/1, Hotel UR Compound, Clive Rd"
Pappu Silk Store,+91 96487 15346,"170, Buxi Nagar"
V-Mart,+91 93056 13960,"26, Grand Trunk Rd"
ANTABIL RETAIL INDIA LTD,+91 94150 24499,"30-A, Mahatma Gandhi Marg"
Jai Ambe Garments,+91 98187 75686,"52 Matiyara Road ,Bajrang Chauraha"
MONTE CARLO,+91 532 242 1723,"24, 12, Sardar Patel Marg"
No Name Fashion Collection,+91 84231 03385,"29, M.G Marg, In front Of Big Bazzar Civil Lines"
MANISH CREATIONS,+91 532 650 0161,"G4,49,STREACHY ROAD, VINAYAK PUSHP, CIVIL LINE"
Rida Fashions,+91 88085 95856,"A-620,, Kareli"
SHUBHAM FASHIONS,+91 99351 40765,"108,ZERO ROAD, SHARDA BHAWAN,"
New Dynamic Garments,+91 99357 60806,"1, Jamuna Hatt (Near Dat Ka pull)"
Areebah Collection,+91 96283 31188,"CC-9, Dr Muzaffar Nasim rd Nashra Market,Labour Chauraha,Kareli B Block"
Relaxo Foot Wear,+91 89539 07279,"1143, Old katra, Allahabad"
Bata,+91 95540 88887,"108-109, Near Shri Gulab Mansion Hotel, Leader Rd & Station Road"
RELAXO,+91 93050 19641,"Opp. Colvin Hospital ,Nakas Kona"
Arrow Store,+91 80 3019 6439,"Upma Singh Enterprises, G-5, Vinayak Pushp Building, Lal Bahadur Shastri, Chauraha, Near Dosa Plaza, Civil Lines"
Shagun Sarees,+91 94156 32838,"157-B/142-B,Near Clock Tower Chauraha,Zero Road"
Relaxo Foot wear,+91 532 263 6101,"Shop No.257/210,Sulem Sarain, Dhoomanganj, Allahabad"
Louis Philippe Store,+91 532 404 1773,"# 22, Civil Station, Municipal # 198E/41, M.G. Marg,"
Arrow,+91 532 226 0526,"G-5 , VINAYAK PUSHP , NEAR DOSA PLAZA, Stretchy Rd"
Khanna Brothers Chowk,+91 94150 22274,16
Kids And Kats (Kids Garment),+91 99188 00723,"#12A/1/9D, Jayantipur"
Madan Lifestyles,+91 93360 27338,"48/6, Stratchey Rd"
PLANET FASHION,+91 532 256 0457,"Plot No 145/33A, MG MARG, CIVIL LINE"
Sukhbasilal Chandra Dev,+91 1800 22 8990,Kutchery Rd
V-Mart,+91 93598 83556,"12/14, Chaddha Rd, Rani Mandi Chowk"
Van Heusen,+91 532 256 0097,"NPA Arcade, 23, Mahatma Gandhi Marg"
Vaibhav Traders,+91 97952 45600,"133/149, Vivekanand Marg, South Malaka Police Chauki"
Shivani OCM Retail Shop,+91 532 240 8355,"16/27, Mahatma Gandhi Marg, Below Sales Tax Office"
Fit For Fashion,+91 93076 66844,50/44
Bata Shoe Shop,+91 532 254 8030,"Netram Chauraha, Kamla Nehru Rd"
Sona Creative Boutique,+91 87955 23875,"Sona Vihar Colony (Near Heera Halwai Chquraha), Civil Lines"
Paridhan Collections,+91 532 240 7160,"5, Sardar Patel Marg"
Jashn,Open ⋅ Closes 9:30PM,"18/A, Sardar Patel Marg, Civil Lines"
G. P. STORES,+91 532 240 3842,"137, KP Kakkar Rd"
Shyam & Sons,+91 87563 59153,Near Netram Chauraha 1142
Karv Family Store,Open ⋅ Closes 9PM,+91 74991 40599
Nautinati,+91 74082 27999,"43/12/1 S P Marg, Civil Line ,opposite ICICI Bank"
Kashi Garments,+91 90260 29457,"16A/16A/1,Mahajani Tola Zero Road,"
Ganga,+91 1800 22 8990,"M.G. Marg, Civil Lines"
Babyoye Store Allahabad Civil Lines,+91 86046 00180,"29/77G, Strachey Road, Lal Bahadur Shastri Marg"
And Showroom,,"22-A, 22-A, Sardar Patel Marg"
International Traders,+91 1800 22 8990,"8, Lal Bahadur Shastri Marg"
A To Z,,+91 1800 22 8990
Manohar Sons,+91 1800 22 8990,91 Jawahar Square
FabIndia,+91 532 256 0180 ext. 190,"50/40, Lal Bahadur Shastri Marg"
raju garments,+91 94548 08182,69 kareli
Fashion Mania,+91 80095 19192,"Near Bharat Hospital , Police Station, Grand Trunk Rd"
Mufti,Open ⋅ Closes 11PM,"22-A, Sardar Patel Marg"
Gents Emporium,+91 1800 22 8990,"27, Sardar Patel Marg"
Mufti,+91 73097 00111,"21/B, Lal Bahadur Shastri Marg"
madan hosiery store,+91 93350 62138,"698,colonelganj,oposite colonelganj hanuman mandir, near ram vatiika"
Shree Garments,+91 70525 76745,"Chak hariharwan, Chatnag road, Jhushi"
Roman Island,+91 88403 40736,"Sharda Tower, 43/13, 2nd Floor, Sardar Patel Marg"
Monika collection,+91 72504 79862,"259,mohd ali park,chowk"
Poonam textile,+91 87267 43600,"108,Sharda Bhawan, Zero Road,"
Yash Enterprises,+91 94506 12802,10/12 khowa mandi
TOONZ,+91 532 605 5666,"Near Girls High School, Dr Lohia Rd"
Girls Point,Closes soon ⋅ 8PM,"209, Katra Rd"
Sai Ram Saree Mahal,+91 99844 44999,27 Jawahar Square Near Naaz Cinema
Kurtis,+91 75658 77963,"Opp.hotel samrat, 25 / 51, M. G. Marg civil lines"
Jaiswal Military Stores,+91 90263 65730,Ghanta Ghar
mahadev readymade,+91 97946 20484,"7 allahabad 211003, 7, Sammelan Marg"
Shagun Fabrics,+91 94156 32838,"99, Clock Tower, Chowk"
NIKE,+91 532 240 0368,"SN 11, 13&15, Sardar Patel Marg"
RED TAPE,+91 532 240 0242,"Shop No. 5, Sardar Patel Marg, Civil Lines"
Life Style,+91 99180 13581,1- First Floor
Bombay Shoe Store,,+91 97953 65469
The Sports Shop,+91 99188 84490,"21/11/3, Nibi Lohgara, Allahabad"
Maurya Vastralaya,+91 76075 01994,"near police chowki lffco gate.3, phulpur, Allahabad, Uttar Pradesh"
Roxy footwear,+91 94153 68335,"21/A, Lukerganj, G.T Road"
Soni Cloth Center,,+91 98389 06041
